Authors	RECOMB 2016 Paper Title (Original)	LNCS 9649 Pages	LNCS 9649 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Chandler Zuo, Kailei Chen, Sündüz Keleş	A MAD-Bayes Algorithm for State-Space Inference and Clustering with Application to Querying Large Collections of ChIP-Seq Data Sets	19-36	10.1007/978-3-319-31957-5_2							
Hao Wang, Joel McManus, Carl Kingsford	Accurate Recovery of Ribosome Positions Reveals Slow Translation of Wobble-Pairing Codons in Yeast	37-52	10.1007/978-3-319-31957-5_3							
Meghana Kshirsagar, Jaime G. Carbonell, Judith Klein-Seetharaman, Keerthiram Murugesan	Multitask Matrix Completion for Learning Protein Interactions Across Diseases	53-64	10.1007/978-3-319-31957-5_4							
Simona Cristea, Jack Kuipers, Niko Beerenwinkel	pathTiMEx: Joint Inference of Mutually Exclusive Cancer Pathways and Their Dependencies in Tumor Progression	65-82	10.1007/978-3-319-31957-5_5							
Nilgun Donmez, Salem Malikic, Alexander W. Wyatt, Martin E. Gleave, Colin C. Collins, S. Cenk Sahinalp	Clonality Inference from Single Tumor Samples Using Low Coverage Sequence Data	83-94	10.1007/978-3-319-31957-5_6							
Nicolo Fusi and Jennifer Listgarten	Flexible Modelling of Genetic Effects on Function-Valued Traits	95-110	10.1007/978-3-319-31957-5_7							
Ahmed Sobih, Alexandru I. Tomescu, Veli Mäkinen	MetaFlow: Metagenomic Profiling Based on Whole-Genome Coverage Analysis with Min-Cost Flows	111-121	10.1007/978-3-319-31957-5_8							
Mark A. Hallen, Jonathan D. Jou, Bruce R. Donald	LUTE (Local Unpruned Tuple Expansion): Accurate Continuously Flexible Protein Design with General Energy Functions and Rigid-rotamer-like Efficiency	122-136	10.1007/978-3-319-31957-5_9							
David Pellow, Darya Filippova, Carl Kingsford	Improving Bloom Filter Performance on Sequence Data Using k-mer Bloom Filters	137-151	10.1007/978-3-319-31957-5_10							
Alexandru I. Tomescu and Paul Medvedev	Safe and Complete Contig Assembly Via Omnitigs	152-163	10.1007/978-3-319-31957-5_11							
Alexander Artyomenko, Nicholas C. Wu, Serghei Mangul, Eleazar Eskin, Ren Sun, Alex Zelikovsky	Long Single-Molecule Reads Can Resolve the Complexity of the Influenza Virus Composed of Rare, Closely Related Mutant Variants	164-175	10.1007/978-3-319-31957-5_12							
Kristoffer Sahlin, Mattias Frånberg, Lars Arvestad	Structural Variation Detection with Read Pair Information-An Improved Null-Hypothesis Reduces Bias	176-188	10.1007/978-3-319-31957-5_13							
Mingfu Shao and Bernard M.E. Moret	On Computing Breakpoint Distances for Genomes with Duplicate Genes	189-203	10.1007/978-3-319-31957-5_14							
Luis Antonio B. Kowada, Daniel Doerr, Simone Dantas, Jens Stoye	New Genome Similarity Measures Based on Conserved Gene Adjacencies	204-224	10.1007/978-3-319-31957-5_15							
Constantinos Tsirogiannis and Brody Sandel	Fast Phylogenetic Biodiversity Computations Under a Non-uniform Random Distribution	225-238	10.1007/978-3-319-31957-5_16							
Joshua D. Welch, Ziqing Liu, Li Wang, Junjie Lu, Paul Lerou, Jeremy Purvis, Li Qian, Alexander Hartemink, Jan F. Prins	SLICER: Inferring Branched, Nonlinear Cellular Trajectories from Single Cell RNA-seq Data	239-240	10.1007/978-3-319-31957-5							
Chenchen Zou, Yuping Zhang, Zhengqing Ouyang	Multi-track Modeling for Genome-Scale Reconstruction of 3D Chromatin Structure from Hi-C Data	241-241	10.1007/978-3-319-31957-5							
Yael Steuerman and Irit Gat-Viks	Revealing the Genetic Basis of Immune Traits in the Absence of Experimental Immunophenotyping	242-243	10.1007/978-3-319-31957-5							
Emre Sefer and Ziv-Bar Joseph	Shall We Dense? Comparing Design Strategies for Time Series Expression Experiments	244-245	10.1007/978-3-319-31957-5							
Sean Simmons, Cenk Sahinalp, Bonnie Berger	Enabling Privacy Preserving GWAS in Heterogeneous Human Populations	246-247	10.1007/978-3-319-31957-5							
Victoria Popic and Serafim Batzoglou	Efficient Privacy-Preserving Read Mapping Using Locality Sensitive Hashing and Secure Kmer Voting	248-249	10.1007/978-3-319-31957-5							
Tommy Hansen and Fabio Vandin	Finding Mutated Subnetworks Associated with Survival in Cancer	250-250	10.1007/978-3-319-31957-5							
