Authors	RECOMB 2018 Paper Title (Original)	LNCS 10812 Pages	LNCS 10812 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Anton Bankevich and Pavel Pevzner	Long Reads Enable Accurate Estimates of Complexity of Metagenomes	1-20	10.1007/978-3-319-89929-9_1							
Shounak Chakraborty, Stefan Canzar, Tobias Marschall, Marcel H. Schulz	Chromatyping: Reconstructing Nucleosome Profiles from NOME Sequencing Data	21-36	10.1007/978-3-319-89929-9_2		Journal of Computational Biology	Chromatyping: Reconstructing Nucleosome Profiles from NOMe Sequencing Data	Shounak Chakraborty, Stefan Canzar, Tobias Marschall, Marcel H. Schulz	27(3):330-341	2020	10.1089/cmb.2019.0457
Ali Ebrahimpour Boroojeny, Akash Shrestha, Ali Sharifi-Zarchi, Suzanne Renick Gallagher, S. Cenk Sahinalp, Hamidreza Chitsaz	GTED: Graph Traversal Edit Distance	37-53	10.1007/978-3-319-89929-9_3							
Cyril Galitzine, Pierre M. Jean Beltran, Ileana M. Cristea, Olga Vitek	Statistical Inference of Peroxisome Dynamics	54-74	10.1007/978-3-319-89929-9_4							
Franziska Görtler, Stefan Solbrig, Tilo Wettig, Peter J. Oefner, Rainer Spang, Michael Altenbuchinger	Loss-Function Learning for Digital Tissue Deconvolution	75-89	10.1007/978-3-319-89929-9_5							
Tyler A. Joseph and Itsik Pe'er	Inference of Population Structure from Ancient DNA	90-104	10.1007/978-3-319-89929-9_6							
Anna Kuosmanen, Topi Paavilainen, Travis Gagie, Rayan Chikhi, Alexandru Tomescu, Veli Mäkinen	Using Minimum Path Cover to Boost Dynamic Programming on DAGs: Co-linear Chaining Extended	105-121	10.1007/978-3-319-89929-9_7							
Gary Larson, Jeffrey L. Thorne, Scott Schmidler	Modeling Dependence in Evolutionary Inference for Proteins	122-137	10.1007/978-3-319-89929-9_8							
Sujun Li, Alex DeCourcy, Haixu Tang	Constrained De Novo Sequencing of neo-Epitope Peptides Using Tandem Mass Spectrometry	138-153	10.1007/978-3-319-89929-9_9							
Yaron Orenstein	Reverse de Bruijn: Utilizing Reverse Peptide Synthesis to Cover All Amino Acid k-mers	154-166	10.1007/978-3-319-89929-9_10							
Sebastien Roch and Kun-Chieh Wang	Circular Networks from Distorted Metrics	167-176	10.1007/978-3-319-89929-9_11							
Antoine Soulé, Jean-Marc Steyaert, Jérôme Waldispühl	A Nested 2-Level Cross-Validation Ensemble Learning Pipeline Suggests a Negative Pressure Against Crosstalk snoRNA-mRNA Interactions in Saccharomyces Cerevisae	177-193	10.1007/978-3-319-89929-9_12		Journal of Computational Biology	A Nested 2-Level Cross-Validation Ensemble Learning Pipeline Suggests a Negative Pressure Against Crosstalk snoRNA-mRNA Interactions in Saccharomyces cerevisiae	Antoine Soulé, Jean-Marc Steyaert, Jérôme Waldispühl	27(3):390-402	2020	10.1089/cmb.2019.0401
Yuriy Sverchkov, Yi-Hsuan Ho, Audrey Gasch, Mark Craven	Context-Specific Nested Effects Models	194-210	10.1007/978-3-319-89929-9_13							
Sharma V. Thankachan, Chaitanya Aluru, Sriram P. Chockalingam, Srinivas Aluru	Algorithmic Framework for Approximate Matching Under Bounded Edits with Applications to Sequence Analysis	211-224	10.1007/978-3-319-89929-9_14							
Zhemin Zhou, Nina Luhmann, Nabil-Fareed Alikhan, Christopher Quince, Mark Achtman	Accurate Reconstruction of Microbial Strains from Metagenomic Sequencing Using Representative Reference Genomes	225-242	10.1007/978-3-319-89929-9_15							
