Authors	RECOMB 2015 Paper Title (Original)	LNCS 9029 Pages	LNCS 9029 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Srinivas Aluru, Alberto Apostolico, Sharma V. Thankachan	Efficient Alignment Free Sequence Comparison with Bounded Mismatches	1-12	10.1007/978-3-319-16706-0_1							
Naama Amir, Dan Cohen, Haim J. Wolfson	DockStar: A Novel ILP Based Integrative Method for Structural Modelling of Multimolecular Protein Complexes	13-15	10.1007/978-3-319-16706-0_2							
Ilan Ben-Bassat and Benny Chor	CRISPR Detection from Short Reads Using Partial Overlap Graphs	16-27	10.1007/978-3-319-16706-0_3							
Emily Berger, Deniz Yorukoglu, Bonnie Berger	HapTree-X: An Integrative Bayesian Framework for Haplotype Reconstruction from Transcriptome and Genome Sequencing Data	28-29	10.1007/978-3-319-16706-0_4							
Alex Bishara, Yuling Liu, Dorna Kashef-Haghighi, Ziming Weng, Daniel E. Newburger, Robert West, Arend Sidow, Serafim Batzoglou	Read Clouds Uncover Variation in Complex Regions of the Human Genome	30-31	10.1007/978-3-319-16706-0_5							
Surojit Biswas, Meredith McDonald, Derek S. Lundberg, Jeffery L. Dangl, Vladimir Jojic	Learning Microbial Interaction Networks from Metagenomic Count Data	32-43	10.1007/978-3-319-16706-0_6							
Stefano R. Bonissone and Pavel A. Pevzner	Immunoglobulin Classification Using the Colored Antibody Graph	44-59	10.1007/978-3-319-16706-0_7							
Stefan Canzar, Sandro Andreotti, David Weese, Knut Reinert, Gunnar W. Klau	CIDANE: Comprehensive Isoform Discovery and Abundance Estimation	60-61	10.1007/978-3-319-16706-0_8							
Hyunghoon Cho, Bonnie Berger, Jian Peng	Diffusion Component Analysis: Unraveling Functional Topology in Biological Networks	62-64	10.1007/978-3-319-16706-0_9							
Kai Dührkop and Sebastian Böcker	Fragmentation Trees Reloaded	65-79	10.1007/978-3-319-16706-0_10							
Rasmus Fonseca, Henry van den Bedem, Julie Bernauer	KGSrna: Efficient 3D Kinematics-Based Sampling for Nucleic Acids	80-95	10.1007/978-3-319-16706-0_11							
