Authors	RECOMB 2012 Paper Title (Original)	LNCS 7262 Pages	LNCS 7262 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Babak Alipanahi, Nathan Krislock, Ali Ghodsi, Henry Wolkowicz, Logan Donaldson, Ming Li	Protein Structure by Semidefinite Facial Reduction	1-11	10.1007/978-3-642-29627-7_1							
Sivan Bercovici, Jesse M. Rodriguez, Megan Elmore, Serafim Batzoglou	Ancestry Inference in Complex Admixtures via Variable-Length Markov Chain Linkage Models	12-28	10.1007/978-3-642-29627-7_2							
Stefan Canzar, Mohammed El-Kebir, Rene Pool, Khaled Elbassioni, Alpesh K. Malde, Alan E. Mark, Daan P. Geerke, Leen Stougie, Gunnar W. Klau	Charge Group Partitioning in Biomolecular Simulation	29-43	10.1007/978-3-642-29627-7_3							
Hector Corrada Bravo	Increased Methylation Variation in Epigenetic Domains across Cancer Types	44-44	10.1007/978-3-642-29627-7_4							
Dan F. DeBlasio, Travis J. Wheeler, John D. Kececioglu	Estimating the Accuracy of Multiple Alignments and its Use in Parameter Advising	45-59	10.1007/978-3-642-29627-7_5							
Matthew R. Francis and Elana J. Fertig	Quantifying the Dynamics of Coupled Networks of Switches and Oscillators	60-61	10.1007/978-3-642-29627-7_6							
Melissa Gymrek, David Golan, Saharon Rosset, Yaniv Erlich	lobSTR: A Short Tandem Repeat Profiler for Personal Genomes	62-63	10.1007/978-3-642-29627-7_7							
Dan He, Buhm Han, Eleazar Eskin	Hap-seq: An Optimal Algorithm for Haplotype Phasing with Imputation Using Sequencing Data	64-78	10.1007/978-3-642-29627-7_8							
Lu He, Fabio Vandin, Gopal Pandurangan, Chris Bailey-Kellogg	BALLAST: A Ball-Based Algorithm for Structural Motifs	79-93	10.1007/978-3-642-29627-7_9							
Patrick Holloway, Krister Swenson, David Ardell, Nadia El-Mabrouk	Evolution of Genome Organization by Duplication and Loss: An Alignment Approach	94-112	10.1007/978-3-642-29627-7_10							
Daniel Holtby, Shuai Cheng Li, Ming Li	LoopWeaver Loop Modeling by the Weighted Scaling of Verified Proteins	113-126	10.1007/978-3-642-29627-7_11							
Yan Huang, Yin Hu, Corbin D. Jones, James N. MacLeod, Derek Y. Chiang, Yufeng Liu, Jan F. Prins, Jinze Liu	A Robust Method for Transcript Quantification with RNA-seq Data	127-147	10.1007/978-3-642-29627-7_12							
Marcus Kinsella and Vineet Bafna	Modeling the Breakage-Fusion-Bridge Mechanism: Combinatorics and Cancer Genomics	148-162	10.1007/978-3-642-29627-7_13							
Yang Li, Hong-Mei Li, Paul Burns, Mark Borodovsky, Gene E. Robinson, Jian Ma	TrueSight: Self-training Algorithm for Splice Junction Detection Using RNA-seq	163-164	10.1007/978-3-642-29627-7_14							
Yaw-Ling Lin, Charles Ward, Steven Skiena	Synthetic Sequence Design for Signal Location Search	165-179	10.1007/978-3-642-29627-7_15							
Marc A. Marti-Renom	The Three-Dimensional Architecture of a Bacterial Genome and Its Alteration by Genetic Perturbation	180-180	10.1007/978-3-642-29627-7_16							
Andrew McPherson, Chunxiao Wu, Alexander Wyatt, Sohrab Shah, Colin Collins, S. Cenk Sahinalp	Discovery of Complex Genomic Rearrangements in Cancer Using High-Throughput Sequencing	181-182	10.1007/978-3-642-29627-7_17							
T.M. Murali, Matthew D. Dyer, David Badger, Brett M. Tyler, Michael G. Katze	Network-Based Prediction and Analysis of HIV Dependency Factors	183-183	10.1007/978-3-642-29627-7_18							
Andrew S. Parker, Karl E. Griswold, Chris Bailey-Kellogg	Structure-Guided Deimmunization of Therapeutic Proteins	184-198	10.1007/978-3-642-29627-7_19							
Dmitri Pervouchine, Ekaterina Khrameeva, Marina Pichugina, Olexii Nikolaienko, Mikhail Gelfand, Petr Rubtsov, Andrei Mironov	Evidence for Widespread Association of Mammalian Splicing and Conserved Long-Range RNA Structures	199-199	10.1007/978-3-642-29627-7_20							
Son K. Pham, Dmitry Antipov, Alexander Sirotkin, Glenn Tesler, Pavel A. Pevzner, Max A. Alekseyev	Pathset Graphs: A Novel Approach for Comprehensive Utilization of Paired Reads in Genome Assembly	200-212	10.1007/978-3-642-29627-7_21							
Imran Rauf, Florian Rasche, François Nicolas, Sebastian Böcker	Finding Maximum Colorful Subtrees in Practice	213-223	10.1007/978-3-642-29627-7_22							
Sebastien Roch and Sagi Snir	Recovering the Tree-Like Trend of Evolution Despite Extensive Lateral Genetic Transfer: A Probabilistic Analysis	224-238	10.1007/978-3-642-29627-7_23							
Sayed Mohammad Ebrahim Sahraeian and Byung-Jun Yoon	RESQUE: Network Reduction Using Semi-Markov Random Walk Scores for Efficient Querying of Biological Networks	239-240	10.1007/978-3-642-29627-7_24							
