Authors	RECOMB 2020 Paper Title (Original)	LNCS 12874 Pages	LNCS 12874 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Leonard Bohnenkämper, Marília D. V. Braga, Daniel Doerr, Jens Stoye	Computing the Rearrangement Distance of Natural Genomes	3-18	10.1007/978-3-030-45257-5_1	arXiv:2001.02139	Journal of Computational Biology	Computing the rearrangement distance of natural genomes 	Leonard Bohnenkämper, Marília D. V. Braga, Daniel Doerr, Jens Stoye	28(4): 410-431	2021	10.1089/cmb.2020.0434
Kamran Ghasedi Dizaji, Wei Chen, Heng Huang	Deep Large-Scale Multi-task Learning Network for Gene Expression Inference	19-36	10.1007/978-3-030-45257-5_2	NONE	Journal of Computational Biology	Deep Large-Scale Multitask Learning Network for Gene Expression Inference 	Kamran Ghasedi Dizaji, Wei Chen, Heng Huang	28(5): 485-500	2021	10.1089/cmb.2020.0438
Barış Ekim, Bonnie Berger, Yaron Orenstein	A Randomized Parallel Algorithm for Efficiently Finding Near-Optimal Universal Hitting Sets	37-53	10.1007/978-3-030-45257-5_3	bioRxiv 2020.01.17.910513						
Kristen Emery, Syamand Hasam, William Stafford Noble, Uri Keich	Multiple Competition-Based FDR Control and Its Application to Peptide Detection	54-71	10.1007/978-3-030-45257-5_4	arXiv:1907.01458	Biometrics	Competition-based control of the false discovery proportion 	Dong Luo, Arya Ebadi, Kristen Emery, Yilun He, William Stafford Noble, Uri Keich	79(4): 3472-3484	2023	10.1111/biom.13830
Songwei Ge, Haohan Wang, Amir Alavi, Eric Xing, Ziv Bar-Joseph	Supervised Adversarial Alignment of Single-Cell RNA-seq Data	72-87	10.1007/978-3-030-45257-5_5	bioRxiv 2020.01.06.896621	Journal of Computational Biology	Supervised Adversarial Alignment of Single-Cell RNA-seq Data 	Songwei Ge, Haohan Wang, Amir Alavi, Eric Xing, Ziv Bar-Joseph	28(5): 501-513	2021	10.1089/cmb.2020.0439
Yuzhi Guo, Jiaxiang Wu, Hehuan Ma, Sheng Wang, Junzhou Huang	Bagging MSA Learning: Enhancing Low-Quality PSSM with Deep Learning for Accurate Protein Structure Property Prediction	88-103	10.1007/978-3-030-45257-5_6	NONE	Journal of Computational Biology	EPTool: a new enhancing PSSM tool for protein secondary structure prediction 	Yuzhi Guo, Jiaxiang Wu, Hehuan Ma, Sheng Wang, Junzhou Huang	28(4): 362-364	2021	10.1089/cmb.2020.0417
Pesho Ivanov, Benjamin Bichsel, Harun Mustafa, André Kahles, Gunnar Rätsch, Martin Vechev	AStarix: Fast and Optimal Sequence-to-Graph Alignment	104-119	10.1007/978-3-030-45257-5_7	bioRxiv 2020.01.22.915496						
Brandon Legried, Erin K. Molloy, Tandy Warnow, Sébastien Roch	Polynomial-Time Statistical Estimation of Species Trees Under Gene Duplication and Loss	120-135	10.1007/978-3-030-45257-5_8	bioRxiv 821439	Journal of Computational Biology	Polynomial-Time Statistical Estimation of Species Trees under Gene Duplication and Loss 	Brandon Legried, Erin K. Molloy, Tandy Warnow, Sébastien Roch	28(5): 452-468	2021	10.1089/cmb.2020.0424
Sneha Mitra, Jianling Zhong, David M. MacAlpine, Alexander J. Hartemink	RoboCOP: Multivariate State Space Model Integrating Epigenomic Accessibility Data to Elucidate Genome-Wide Chromatin Occupancy	136-151	10.1007/978-3-030-45257-5_9	bioRxiv 2020.06.03.132001	Nucleic Acids Research	RoboCOP: jointly computing chromatin occupancy profiles for numerous factors from chromatin accessibility data 	Sneha Mitra, Jianling Zhong, TQ Tran, David M. MacAlpine, Alexander J. Hartemink	49(14): 7925-7938	2021	
Amatur Rahman, Paul Medvedev	Representation of k-mer Sets Using Spectrum-Preserving String Sets	152-168	10.1007/978-3-030-45257-5_10	bioRxiv 2020.01.07.896928	Journal of Computational Biology	Representation of k-Mer Sets Using Spectrum-Preserving String Sets 	Amatur Rahman, Paul Medvedev	28(4): 381-394	2021	10.1089/cmb.2020.0431
Matthew A. Reyna, Uthsav Chitra, Rebecca Elyanow, Benjamin J. Raphael	NetMix: A Network-Structured Mixture Model for Reduced-Bias Estimation of Altered Subnetworks	169-185	10.1007/978-3-030-45257-5_11	bioRxiv 2020.01.18.911438	Journal of Computational Biology	NetMix: A Network-Structured Mixture Model for Reduced-Bias Estimation of Altered Subnetworks 	Matthew A. Reyna, Uthsav Chitra, Rebecca Elyanow, Benjamin J. Raphael	28(5): 469–484	2021	10.1089/cmb.2020.0435
Roman Sarrazin-Gendron, Hua-Ting Yao, Vladimir Reinharz, Carlos G. Oliver, Yann Ponty, Jérôme Waldispühl	Stochastic Sampling of Structural Contexts Improves the Scalability and Accuracy of RNA 3D Module Identification	186-201	10.1007/978-3-030-45257-5_12	bioRxiv 834762						
