Authors	RECOMB 2025 Paper Title (Original)	LNCS 15647 Pages	LNCS 15647 DOI	Preprint	Journal Name	Title in Journal Version	Journal Authors	Journal Volume, Issue, and Pages	Journal Publication Year	Journal Version DOI
Jiahan Li, Shitong Luo, Congyue Deng, Chaoran Cheng, Jiaqi Guan, Leonidas Guibas, Jian Peng, Jianzhu Ma	Orientation-Aware Networks for Protein Structure Representation Learning	1-16	10.1007/978-3-031-90252-9_1 							
Zexin Xue, Michael Bailey, Abhinav Gupta, Ruijiang Li, Alejandro Corrochano-Navarro, Sizhen Li, Lorenzo Kogler-Anele, Qui Yu, Ziv Bar-Joseph, Sven Jager	Active Learning for Protein Structure Prediction	17-33	10.1007/978-3-031-90252-9_2							
Chiho Im, Ryan Zhao, Scott D. Boyd, Anshul Kundaje	Sequence-Based TCR-Peptide Representations Using Cross-Epitope Contrastive Fine-Tuning of Protein Language Models	34-48	10.1007/978-3-031-90252-9_3							
Shaojun Wang, Hancheng Liu, Weiqi Zhai, Shanfeng Zhu	DualGOFiller: A Dual-Channel Graph Neural Network with Contrastive Learning for Enhancing Function Prediction in Partially Annotated Proteins	49-67	10.1007/978-3-031-90252-9_4							
Nina Corvelo Benz, Lucas Miranda, Dexiong Chen, Janko Sattler, Karsten Borgwardt	Detecting Antimicrobial Resistance Through MALDI-TOF Mass Spectrometry with Statistical Guarantees Using Conformal Prediction	68-85	10.1007/978-3-031-90252-9_5							
Yuxiang Wei, Anees Abrol, Vince D. Calhoun	Hierarchical Spatio-Temporal State-Space Modeling for fMRI Analysis	86-98	10.1007/978-3-031-90252-9_6							
Carlos Albors, Jianan Canal Li, Gonzalo Benegas, Chengzhong Ye, Yun S. Song	A Phylogenetic Approach to Genomic Language Modeling	99-117	10.1007/978-3-031-90252-9_7							
Junyan Dai and Erin K. Molloy	Dynamic Programming Algorithms for Fast and Accurate Cell Lineage Tree Reconstruction from CRISPR-Based Lineage Tracing Data	118-133	10.1007/978-3-031-90252-9_8							
Théo Boury, Leonhard Sidl, Ivo L. Hofacker, Yann Ponty, Hua-Ting Yao	Old Dog, New Tricks: Exact Seeding Strategy Improves RNA Design Performances	134-152	10.1007/978-3-031-90252-9_9							
Tianshuo Zhou, Apoorv Malik, Wei Yu Tang, David H. Mathews, Liang Huang	Scalable and Interpretable Identification of Minimal Undesignable RNA Structure Motifs with Rotational Invariance	153-174	10.1007/978-3-031-90252-9_10							
Aaryan M. Sarnaik, Ke Chen, Austin Diaz, Mingfu Shao	An Exact and Fast SAT Formulation for the DCJ Distance	175-189	10.1007/978-3-031-90252-9_11							
Nathaniel K. Brown, Vikram S. Shivakumar, Ben Langmead	Improved Pangenomic Classification Accuracy with Chain Statistics	190-208	10.1007/978-3-031-90252-9_12							
Pramesh Shakya, Ahsan Sanaullah, Degui Zhi, Shaojie Zhang	Dynamic p-PBWT: Dynamic Run-Length Compressed PBWT for Biobank Scale Data	209-226	10.1007/978-3-031-90252-9_13							
Adam Park and David Koslicki	Prokrustean Graph: A Substring Index for Rapid K-Mer Size Analysis	227-249	10.1007/978-3-031-90252-9_14							
Peidong Zhang, Xingang Peng, Rong Han, Ting Chen, Jianzhu Ma	Rag2Mol: Structure-Based Drug Design Based on Retrieval Augmented Generation	250-254	10.1007/978-3-031-90252-9_15							
Ziang Li and Yunan Luo	Rewiring Protein Sequence and Structure Generative Models to Enhance Protein Stability Prediction	255-259	10.1007/978-3-031-90252-9_16							
Mert Erden, Kapil Devkota, Lia Varghese, Lenore Cowen, Rohit Singh	Learning a CONCISE Language for Small-Molecule Binding	260-263	10.1007/978-3-031-90252-9_17							
Rami Nasser, Leah V. Schaffer, Trey Ideker, Roded Sharan	An Adversarial Scheme for Integrating Multi-modal Data on Protein Function	264-267	10.1007/978-3-031-90252-9_18							
Sam Sledzieski, Charlotte Versavel, Rohit Singh, Faith Ocitti, Kapil Devkota, Lokender Kumar, Polina Shpilker, Liza Roger, Jinkyu Yang, Nastassja Lewinski, Hollie Putnam, Bonnie Berger, Judith Klein-Seetharaman, Lenore Cowen	Decoding the Functional Interactome of Non-model Organisms with PHILHARMONIC	268-272	10.1007/978-3-031-90252-9_19							
Henri Schmidt and Benjamin J. Raphael	The Tree Labeling Polytope: A Unified Approach to Ancestral Reconstruction Problems	273-276	10.1007/978-3-031-90252-9_20							
Haotian Zhang, Yiming Zhang, Teng Gao, Yufeng Wu	ScisTree2: An Improved Method for Large-Scale Inference of Cell Lineage Trees and Genotype Calling from Noisy Single Cell Data	277-280	10.1007/978-3-031-90252-9_21							
Siavash Raeisi Dehkordi, Zhaoyang Jia, Joey Estabrook, Jen Hauenstein, Neil Miller, Naz Güleray-Lafci, Jürgen Neesen, Alex Hastie, Andy Wing Chun Pang, Paul Dremsek, Vineet Bafna	OMKar: Optical Map Based Automated Karyotyping of Genomes to Identify Constitutional Disorders	281-284	10.1007/978-3-031-90252-9_22							
Kemal Inecik, Aleyna Kara, Antony Rose, Muzlifah Haniffa, Fabian J. Theis	TarDis: Achieving Robust and Structured Disentanglement of Multiple Covariates	285-289	10.1007/978-3-031-90252-9_23							
Jim Shaw, Christina Boucher, Yun William Yu, Noelle Noyes, Heng Li	Devider: Long-Read Reconstruction of Many Diverse Haplotypes	290-293	10.1007/978-3-031-90252-9_24							
Leah L. Weber, Anna Hart, Idoia Ochoa, Mohammed El-Kebir	Pharming: Joint Clonal Tree Reconstruction of SNV and CNA Evolution from Single-Cell DNA Sequencing of Tumors	294-298	10.1007/978-3-031-90252-9_25							
Gyeongsik Park, Andrew J. Lee, Inkyung Jung	GEM-Finder: Dissecting GWAS Variants via Long-Range Interacting Cis-Regulatory Elements with Differentiationspecific Genes	299-302	10.1007/978-3-031-90252-9_26							
Tianyu Liu, Edward De Brouwer, Tony Kuo, Nathaniel Diamant, Alsu Missarova, Hanchen Wang, Minsheng Hao, Hector Corrada Bravo, Gabriele Scalia, Aviv Regev, Graham Heimberg	Learning Multi-cellular Representations of Single-Cell Transcriptomics Data Enables Characterization of Patient-Level Disease States	303-306	10.1007/978-3-031-90252-9_27							
Yixuan Wang, Jiayi Li, Jingqi Li, Shen Yang, Yuhan Huang, Xinyuan Liu, Yimin Fan, Irwin King, Yumei Li, Yu Li	cfDecon: Accurate and Interpretable Methylation-Based Cell Type Deconvolution for Cell-Free DNA	307-311	10.1007/978-3-031-90252-9_28							
Palash Sashittal, Richard Y. Zhang, Benjamin K. Law, Henri Schmidt, Alexander Strzalkowski, Adriano Bolondi, Michelle M. Chan, Benjamin J. Raphael	Inferring Cell Differentiation Maps from Lineage Tracing Data	312-315	10.1007/978-3-031-90252-9_29							
Ali Osman Berk Şapcı and Siavash Mirarab	Alignment-Free Estimation of Read to Genome Distances and Its Applications	316-320	10.1007/978-3-031-90252-9_30							
